"Информация о тендере","Номер тендера","Регион","Место поставки","Заказчик","ИНН","Тип закупки","Способ размещения","Дата публикации","Дата окончания (МСК)","Начальная цена, руб","Обеспечение контракта, руб","Аванс","Ссылка на источник","Отрасли"
"Приобретение жилых помещений путем инвестирования в строительство на территории г. Нижнего Тагила Свердловской области для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-ПП ""Об утверждении государственной программы Свердловской области ""Реализация основных направлений государственной политики в строительном комплексе Свердловской области до 2024 года","60664544","Свердловская область","г. Нижний Тагил","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","6662081066","44-ФЗ","Запросы котировок и предложений","06.06.2022","15.06.2022 16:00","","30%","","https://zakupki.gov.ru/epz/pricereq/card/common-info.html?priceRequestId=977417","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Работы строительные по возведению нежилых зданий и сооружений (работы по строительству новых объектов, возведению пристроек, реконструкции и ремонту зданий)","60656116","Алтайский край","Ельцовский район, село Мартыново","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МАРТЫНОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА ФИЛИППА АГАФОНОВИЧА СТОЛБОВА ЕЛЬЦОВСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ","2240001072","44-ФЗ","Электронные аукционы","06.06.2022","15.06.2022 7:46","28,404,010","2,840,401","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0317300036122000001","Полное строительство и реконструкция зданий и сооружений"
"Реконструкция здания муниципального учреждения культуры Варненский краеведческий музей имени Савина В.И. , в том числе проектно-изыскательские работы","60654138","Челябинская область","Варненский район, село Варна","МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ВАРНЕНСКИЙ КРАЕВЕДЧЕСКИЙ МУЗЕЙ ИМЕНИ САВИНА В.И.""","7428007395, 7443006371","44-ФЗ","Конкурсы и аукционы","06.06.2022","24.06.2022 7:00","6,700,000","30%","","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0369300207122000068","Полное строительство и реконструкция зданий и сооружений"
"Выполнение строительно-монтажных работ по мероприятиям: 1.""Техническое перевооружение узла перемешивания реакторов поз. 25/1-5, 24 с заменой редукторов"" в цехе №11, производства ""Каустик"" в соответствии рабочей и сметной документацией №1304-671/19- АС. 2 ""Модернизация электрофильтра СМС-6,2 №1"" в цехе №82, производства ""Сода"" в соответствии рабочей и сметной документацией .40-719/17-АС. 3 ""Установка и обвязка элемента АБ №1"" в цехе №68, производства ""Сода в соответствии рабочей и сметной документацией .20-157/20-АС1","60643648","Башкортостан республика","г. Стерлитамак","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""","268008010","223-ФЗ","Прочее","06.06.2022","14.06.2022 0:00","5,777,310","","","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14111077","Полное строительство и реконструкция зданий и сооружений"
"Выполнение комплекса работ по строительству с обеспечением ввода в эксплуатацию объекта капитального строительства ""Строительство здания караула ФКУ СИЗО-5 ГУФСИН России по Красноярскому краю, г. Канск, Красноярский край"" в рамках государственного оборонного заказа","60645129","Красноярский край","г. Канск","ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КРАСНОЯРСКОМУ КРАЮ","2460005555","44-ФЗ","Электронные аукционы","04.06.2022","16.06.2022 10:00","104,459,000","10,445,900","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0319100017722000018","Полное строительство и реконструкция зданий и сооружений"
"Выполнение комплекса работ по строительству с обеспечением ввода в эксплуатацию объекта капитального строительства ""Реконструкция охранных сооружений ФКУ СИЗО-5 ГУФСИН России по Красноярскому краю, г. Канск, Красноярский край"" в рамках государственного оборонного заказа","60645100","Красноярский край","г. Канск","ГЛАВНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КРАСНОЯРСКОМУ КРАЮ","2460005555","44-ФЗ","Электронные аукционы","04.06.2022","16.06.2022 10:00","94,395,900","9,439,590","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0319100017722000017","Полное строительство и реконструкция зданий и сооружений"
", Выполнение строительных работ по объекту незавершенного строительства: 1-я очередь строительства многоквартирных жилых домов c инженерными коммуникациями: корпус 1, расположенный по адресу: Московская область, Наро-Фоминский район, г.п. Наро-Фоминск, п. д/о ""Бекасово"" (Идентификатор объекта -р-16278),Выполнение строительных работ по объекту незавершенного строительства: 1-я очередь строительства многоквартирных жилых домов c инженерными коммуникациями: корпус 2, расположенный по адресу: Московская область, Наро-Фоминский район, г.п. Наро-Фоминск, п. д/о ""Бекасово"" (Идентификатор объекта -р-16279),Выполнение строительных работ по объекту незавершенного строительства: 1-я очередь строительства многоквартирных жилых домов c инженерными коммуникациями: корпус 3, расположенный по адресу: Московская область, Наро-Фоминский район, г.п. Наро-Фоминск, п. д/о ""Бекасово"" (Идентификатор объекта -р-16280)","60644612","Московская область","Наро-Фоминский р-он, д. Бекасово","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ В ОРГАНИЗАЦИОННО-ПРАВОВОЙ ФОРМЕ ФОНДА ""ФОНД ЗАЩИТЫ ПРАВ ГРАЖДАН - УЧАСТНИКОВ ДОЛЕВОГО СТРОИТЕЛЬСТВА МОСКОВСКОЙ ОБЛАСТИ""","5024204676","223-ФЗ","Запросы котировок и предложений","03.06.2022","16.06.2022 0:00","350,552,340","","","https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=14111255","Полное строительство и реконструкция зданий и сооружений"
"Приобретение жилого помещения (квартиры) путем участия в долевом строительстве многоквартирного дома в г. Энгельс Саратовской области для последующего предоставления гражданам, страдающим тяжелыми формами хронических заболеваний","60644472","Саратовская область","г. Энгельс","МИНИСТЕРСТВО СТРОИТЕЛЬСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ","6452911715","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","2,249,940","5%","1%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0860200000822003912","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Реконструкция МБОУ ООШ №26 в пос. Прогресс Темрюкского района Краснодарского края. I этап: Строительство спортивного блока. Корректировка","60642794","Краснодарский край","Темрюкский район, поселок Прогресс","УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА И ТОПЛИВНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ТЕМРЮКСКИЙ РАЙОН","2352050423","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","43,074,356","12,922,306","70%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0318300008822000268","Полное строительство и реконструкция зданий и сооружений"
"Приобретение жилых помещений в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для однократного предоставления благоустроенного жилого помещения специализированного жилищного фонда по договору найма специализированного жилого помещения детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей на территории города Курска Курской области","60642434","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","2,971,400","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004601","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение комплекса работ и монтаж оборудования на объекте капитального строительства ""Блок-склад ФБУ ИЗ-32/1 УФСИН России по Брянской области г.Брянск"" в рамках государственного оборонного заказа на 2022 год","60642355","Брянская область","г. Брянск","УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО БРЯНСКОЙ ОБЛАСТИ","3234017502","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 8:00","5,201,295","52,012","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0127100001722000017","Полное строительство и реконструкция зданий и сооружений"
"Выполнение строительно-монтажных и прочих работ, в том числе установка и монтаж оборудования","60641860","Татарстан республика","Респ. Татарстан","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГЛАВСТРОЙ РЕСПУБЛИКИ ТАТАРСТАН""","1655395979","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 11:00","25,268,930","5,053,786","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0311500000922000043","Полное строительство и реконструкция зданий и сооружений"
"Выполнение строительно-монтажных и прочих работ, в том числе установка и монтаж оборудования","60641859","Татарстан республика","Респ. Татарстан","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ РЕСПУБЛИКИ ТАТАРСТАН""","1654006250","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 11:10","60,520,810","6,052,081","10%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0311200014622000155","Полное строительство и реконструкция зданий и сооружений"
"Выполнение подрядной организацией строительно-монтажных и пусконаладочных работ с поставкой оборудования по объекту: ""Комплекс жилых домов литер 15, 16, 17 со встроенно-пристроенными помещениями и отдельно стоящей подземной автостоянкой литер 19 на территории, ограниченной улицами Мингажева, Чернышевского, Ветошникова, Кирова, Айской, проспектом Салавата Юлаева в Кировском районе городского округа город Уфа Республики Башкортостан"". Жилой дом литер 16","60641625","Башкортостан республика","г. Салават; г. Уфа","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ КОМИТЕТ ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН""","0275916687","223-ФЗ","Нерегламентированные закупки","03.06.2022","20.06.2022 9:00","631,176,004","","","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211444886","Полное строительство и реконструкция зданий и сооружений"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60641353","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084, 4629026949","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","4,647,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004592","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение у застройщика жилого помещения в собственность муниципального образования ""Город Курск"" посредством участия в долевом строительстве многоквартирного жилого дома для предоставления гражданам, переселяемым из аварийного жилищного фонда","60640500","Курская область","г. Курск","КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ ГОРОДА КУРСКА","4632001084, 4629026949","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","4,647,200","","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0744200000222004593","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность благоустроенного жилого помещения в целях обеспечения жилыми помещениями детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей","60639713","Ростовская область","г. Гуково","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА ГУКОВО ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД ГУКОВО""","6144020841","44-ФЗ","Электронные аукционы","03.06.2022","15.06.2022 11:31","1,080,606","108,060","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0858300003222000156","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Выполнение работ по строительству объекта ""Общественное кладбище"" на территории муниципального образования ""Селезнёвское сельское поселение"" Выборгского района Ленинградской области. Административно-бытовой корпус"" расположенный по адресу: земельный участок с кадастровым номером: 47:01:1014001:3385""","60639285","Ленинградская область","Выборгский район","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЫБОРГСКИЙ РАЙОН"" ЛЕНИНГРАДСКОЙ ОБЛАСТИ","4704063710","44-ФЗ","Электронные аукционы","03.06.2022","20.06.2022 9:00","17,216,350","5%","","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0145300002522000002","Полное строительство и реконструкция зданий и сооружений"
"Здание амбулатории врача общей практики по адресу: Краснодарский край, Новокубанский район, г.Новокубанск, ул.Красная 36/2","60638568","Краснодарский край","г. Новокубанск","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ НОВОКУБАНСКИЙ РАЙОН","2343009034","44-ФЗ","Электронные аукционы","03.06.2022","14.06.2022 9:00","10,999,894","1,099,989","10%","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0318300039522000109","Полное строительство и реконструкция зданий и сооружений"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636976","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000132","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636643","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000124","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636646","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000125","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636614","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000126","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636618","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000127","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636612","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000129","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение (долевое участие в строительстве) квартиры для детей сирот","60636606","Астраханская область","Приволжский район","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ АСТРАХАНСКОЙ ОБЛАСТИ""","3015089342","44-ФЗ","Электронные аукционы","03.06.2022","16.06.2022 8:00","1,813,861","181,386","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0325200006722000128","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
