Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
Услуги по передаче неисключительных прав на дополнительные модули государственной информационной системы обеспечения градостроительной деятельности Камчатского края и их внедрению (технической поддержке);'222410112101641010100100190010000246';;;15466000.00;RUB;NA;NA;МИНИСТЕРСТВО СТРОИТЕЛЬСТВА И ЖИЛИЩНОЙ ПОЛИТИКИ КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО СТРОИТЕЛЬСТВА И ЖИЛИЩНОЙ ПОЛИТИКИ КАМЧАТСКОГО КРАЯ;17.05.2022;02.06.2022;NA
Поставка противотуберкулезных препаратов;'222410001344141010100100900010000612';;;992180.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
Поставка лекарственного препарата для лечения больных туберкулезом (Интерферон гамма человеческий рекомбинантный);'222410001344141010100100910012120612';;;1136515.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
Поставка хозяйственных товаров;'222410105990741010100101860030000244';;;161960.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР""";27.05.2022;06.06.2022;NA
Поставка лекарственных препаратов для обеспечения региональных льготников (Линезолид);'222410001344141010100100920012120612';;;5396090.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
"Поставка дезинфицирующих средств для нужд ФБУЗ ""Центр гигиены и эпидемиологии в Камчатском крае""";;1;"Поставка дезинфицирующих средств для нужд ФБУЗ ""Центр гигиены и эпидемиологии в Камчатском крае""";302229.04;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В КАМЧАТСКОМ КРАЕ""";;06.06.2022;;NA
Поставка противотуберкулезных препаратов (Линезолид);'222410001344141010100100860012120612';;;1904516.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
Поставка противотуберкулезных препаратов (Аминосалициловая кислота);'222410001344141010100100890012120612';;;3950496.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""";26.05.2022;03.06.2022;NA
Выполнение работ по подготовке проекта планировки территории и проекта межевания территории, предусматривающих размещение линейного объекта «Участок улицы Абрикосовая от улицы Легендарная до улицы Новоселов» и «Участок улицы Новоселов от земельного участка с кадастровым номером 65:02:0000011:1033 до земельного участка с кадастровым номером 65:02:0000011:988 для обустройства водоотводной канавы»;'223650129088765010100100180017111244';;;1530000.00;RUB;NA;NA;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА ЮЖНО-САХАЛИНСКА;АДМИНИСТРАЦИЯ ГОРОДА ЮЖНО-САХАЛИНСКА;26.05.2022;02.06.2022;NA
Оказание услуг по обязательному страхованию гражданской ответственности владельцев транспортных средств (ОСАГО);'223650105514665010100100190026512244';;;3861.89;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОЙ ДОМ КУЛЬТУРЫ ""РОДИНА""";АДМИНИСТРАЦИЯ ГОРОДА ЮЖНО-САХАЛИНСКА;30.05.2022;06.06.2022;NA
Топографическая съемка, подготовка топографического плана в масштабе 1:500 (включая съемку подземных и надземных сооружений) территории г. Александровск-Сахалинский;'223650200141865020100100070017111244';;;920000.00;RUB;NA;NA;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""АЛЕКСАНДРОВСК-САХАЛИНСКИЙ РАЙОН"" САХАЛИНСКОЙ ОБЛАСТИ РОССИЙСКОЙ  ФЕДЕРАЦИИ";"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""АЛЕКСАНДРОВСК-САХАЛИНСКИЙ РАЙОН"" САХАЛИНСКОЙ ОБЛАСТИ РОССИЙСКОЙ  ФЕДЕРАЦИИ";13.05.2022;01.06.2022;NA
Реагенты диагностические;'222410103609641010100100240012120244';;;468144.51;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 3""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 3""";26.05.2022;03.06.2022;NA
Поставка хозяйственного товара для нужд ГБУЗ КК КРБ.;'222820300066782030100100540012229244';;;7146.70;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""КАРАГИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""КАРАГИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Поставка хозяйственного товара для нужд ГБУЗ КК КРБ.;'222820300066782030100100550010000244';;;99304.68;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""КАРАГИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""КАРАГИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Поставка хозяйственного товара для нужд ГБУЗ КК КРБ.;'222820300066782030100100560010000244';;;67469.27;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""КАРАГИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""КАРАГИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""";25.05.2022;02.06.2022;NA
поставка кальмара замороженного;222650200396965020100100880011020244, 222650200463465020100100160011020244;;;167399.98;RUB;NA;NA;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК САХАЛИНСКОЙ ОБЛАСТИ""";26.05.2022;03.06.2022;NA
Поставка лекарственных препаратов для медицинского применения (леводопа+[бенсеразид], аторвастатин);'222790000107079010100101290012120323';;;769432.80;RUB;NA;NA;ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ ПРАВИТЕЛЬСТВА ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ""";26.05.2022;03.06.2022;NA
Поставка подвесного лодочного мотора;'221410102046641010100100500012811244';;;396880.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";26.05.2022;06.06.2022;NA
Поставка бумаги;'221410102046641010100100520011712244';;;92242.50;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";26.05.2022;06.06.2022;NA
Оказание услуг по техническому обслуживанию медицинской техники;'222272500675827250100100780013313244';;;380000.04;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ ""АМУРСКИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ ""АМУРСКИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";30.05.2022;06.06.2022;NA
Поставка расходных материалов для производства экспертиз, исследований и других процессуальных действий.;'221272103115027210100100000100000211';;;1178147.00;RUB;NA;NA;УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАБАРОВСКОМУ КРАЮ;УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАБАРОВСКОМУ КРАЮ;26.05.2022;03.06.2022;NA
Поставка глюкозы ИВД, реагента;'222272301543627230100100790022120244';;;14136.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ Г. ХАБАРОВСКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ Г. ХАБАРОВСКА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;03.06.2022;NA
Выполнение работ по ремонту участка внутрипоселковой дороги по ул. Гагарина от пересечения с ул. Ватутина, участок от дома № 1 до дома № 7 по ул. Гагарина в с. Владимиро-Александровское протяженностью 350 м;'223252400313025240100100230014211244';;;2242720.40;RUB;NA;NA;АДМИНИСТРАЦИЯ ПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ПРИМОРСКОГО КРАЯ;АДМИНИСТРАЦИЯ ПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ПРИМОРСКОГО КРАЯ;26.05.2022;03.06.2022;NA
Выполнение работ по ремонту участка внутрипоселковой дороги по ул. Юбилейная от дома № 1а до пересечения с ул. 70 лет Октября в с. Владимиро-Александровское протяженностью 160м;'223252400313025240100100260014211244';;;2180568.00;RUB;NA;NA;АДМИНИСТРАЦИЯ ПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ПРИМОРСКОГО КРАЯ;АДМИНИСТРАЦИЯ ПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ПРИМОРСКОГО КРАЯ;26.05.2022;03.06.2022;NA
Поставка пюре томатного для нужд Амурского филиала МГУ им.адм. Г.И. Невельского;'221254000978825400100100780011039244';;;90000.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОРСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ АДМИРАЛА Г.И. НЕВЕЛЬСКОГО""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОРСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ АДМИРАЛА Г.И. НЕВЕЛЬСКОГО""";27.05.2022;06.06.2022;NA
Поставка тонкого клиента;'222410106652741010100100280012620244';;;330000.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 2""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА № 2""";26.05.2022;03.06.2022;NA
Оказание услуг по техническому обслуживанию медицинской техники;'222272500675827250100100770013313244';;;380000.04;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ ""АМУРСКИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ ""АМУРСКИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;03.06.2022;NA
Выполнение работ по ремонту участка внутрипоселковой дороги по ул. Луговая от пересечения с ул. Р. Зорге до пересечения с ул. Ватутина в с. Владимиро-Александровское протяженностью 300м.;'223252400313025240100100240014211244';;;3376528.80;RUB;NA;NA;АДМИНИСТРАЦИЯ ПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ПРИМОРСКОГО КРАЯ;АДМИНИСТРАЦИЯ ПАРТИЗАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ПРИМОРСКОГО КРАЯ;26.05.2022;03.06.2022;NA
